URL,Image Name,Caption,Inset
https://timesofmalta.com/articles/view/burlo-july-24-2023.1045378,img00000.jpg,A boating Bobby,False
https://timesofmalta.com/articles/view/editorial-losing-war-obesity.1045024,img00001.jpg,Photo: Shutterstock.com,False
https://timesofmalta.com/articles/view/letters-editor-july-24-2023.1044955,img00002.jpg,Maltese driving habits have rubbed off on taxi drivers too. Photo: Jonathan Borg,False
https://timesofmalta.com/articles/view/letters-editor-july-24-2023.1044955,img00003.jpg,Image: Times of Malta,False
https://timesofmalta.com/articles/view/major-league-soccer-gains-momentum-messi-magic.1045306,img00004.jpg,"Argentine soccer star Lionel Messi waves as he is presented as the newest player for Major League Soccer’s Inter Miami CF, at DRV PNK Stadium in Fort Lauderdale, Florida, US, last Sunday. Photo: Chandan Khanna/AFP",False
https://timesofmalta.com/articles/view/islanders-september-2021.1045003,img00005.jpg,Image: Steve Bonello,False
https://timesofmalta.com/articles/view/the-shape-things-come.1044730,img00006.jpg,Environmental protection binds us to our own humanity and to all of creation. Photo: Shutterstock.com,False
https://timesofmalta.com/articles/view/understanding-people-suffering.1044997,img00007.jpg,Maltese society experienced A sense of collective remorse and guilt following the death of Jean-Paul Sofia. Photo: Facebook ,False
https://timesofmalta.com/articles/view/it-wrong-turn-tap-water-horn-plenty.1044760,img00008.jpg,Thames Water’s Mogden sewage treatment works in London. The UK government has expressed serious concern about the financial plight of the country’s biggest privatised water company. Photo: BEN STANSALL / AFP,False
https://timesofmalta.com/articles/view/feeling-heat.1044766,img00009.jpg,Photo: Shutterstock.com,False
https://timesofmalta.com/articles/view/letters-editor-july-23-2023.1044772,img00010.jpg,The bartender did not know what a white wine spritzer is. PHOTO: SHUTTERSTOCK.COM,False
https://timesofmalta.com/articles/view/letters-editor-july-23-2023.1044772,img00011.jpg,Image: Times of Malta,False
https://timesofmalta.com/articles/view/driving-success-inspiring-excellence.1044787,img00012.jpg,By fostering creativity performance leaders inspire their teams to think outside the box. Photo: Shutterstock.com,False
https://timesofmalta.com/articles/view/ztv-july-23-2023.1044718,img00013.jpg,Image: Steve Bonello,False
https://timesofmalta.com/articles/view/zepp-july-23-2023.1044721,img00014.jpg,Image: Gorg Mallia,False
https://timesofmalta.com/articles/view/suicide-overwhelmingly-male-issue-why-crisis-go-unnoticed.1044700,img00015.jpg,"By recognising and supporting the unique needs of men, we can save lives, families and loved ones. Photo: Shutterstock.com",False
