URL,Article Name,Author,Date,Categories,Images
https://timesofmalta.com/articles/view/large-cap-equities-drive-mse-index-higher.1045114,Large cap equities drive MSE Index higher,Times of Malta,22-Jul-2023,"Business,Financial markets",img00000.jpg
https://timesofmalta.com/articles/view/financial-analysis-the-1053-rule.1044823,"Financial analysis: The 10,5,3 rule",Edward Rizzo,22-Jul-2023,"Business,Financial markets,Analysis",img00001.jpg
https://timesofmalta.com/articles/view/dihubmt-creating-community-technology-entrepreneurs-malta.1045102,DiHubMT: Creating a community of technology entrepreneurs in Malta,"Bernard Montebello, MDIA",21 July 2023,"Business,Technology","img00002.jpg,img00003.jpg"
https://timesofmalta.com/articles/view/respect-society-lawrence-zammit.1044841,Respect for society − Lawrence Zammit,Times of Malta,21 July 2023,"Opinion,Business,Finance",img00004.jpg
https://timesofmalta.com/articles/view/we-develop-properties-comfortable-operating-from-a2.1044793,‘We develop properties that we ourselves would be comfortable operating from’,,20 July 2023,"Business,Properties",img00005.jpeg
https://timesofmalta.com/articles/view/apple-pay-now-available-moneybase.1044601,Apple Pay now available for Moneybase,Press Release,19 July 2023,"Business,Tech,Fintech",img00006.png
https://timesofmalta.com/articles/view/derelict-savoy-hotel-business-centre.1044202,Derelict Savoy Hotel to become business centre,Matthew Xuereb,19 July 2023,"Business,Planning Authority,Construction,Gżira","img00007.jpg,img00008.jpg"
https://timesofmalta.com/articles/view/career-growth-rocs-way-a2.1044508,"Career growth, the ROCS way",,19 July 2023,Business,img00009.jpg
https://timesofmalta.com/articles/view/maltese-boss-rejects-concerns-sicily-marina.1044442,Maltese boss rejects concerns over Sicily marina,James Cummings,19 July 2023,"National,Construction,Maritime,Business",img00010.jpg
https://timesofmalta.com/articles/view/six-advantages-purchasing-car-auto-dealer-a2.1044448,Six advantages of purchasing a car from an auto dealer,,18 July 2023,"Motoring,Business","img00011.jpg,img00012.jpg"
https://timesofmalta.com/articles/view/financemalta-charts-path-financial-services-16th-annual-conference.1044355,FinanceMalta charts the path in financial services at its 16th annual conference,Press Release,18 July 2023,"Business,Events",img00013.jpg
https://timesofmalta.com/articles/view/pb-group-acquires-thomas-smith-insurance-logistics-businesses.1044343,"PB Group acquires 100 per cent of Thomas Smith insurance, logistics businesses",Press Release,18 July 2023,Business,img00014.jpg
https://timesofmalta.com/articles/view/money-market-report-week-ended-july-14.1044214,Money market report for the week ended July 14,Times of Malta,18 July 2023,"Business,Financial markets,Eurozone",img00015.jpg
https://timesofmalta.com/articles/view/london-exhibition-spotlights-migrant-business-owners.1044103,London exhibition spotlights migrant business owners,AFP,17 July 2023,"Entertainment,Business,Exhibition,Migration,UK","img00016.jpg,img00017.jpg"
https://timesofmalta.com/articles/view/just-something-can-done-doesnt-mean-done.1044079,"Just because something ‘can’ be done, it doesn't mean it should be done","Lucille Cachia, Director of Exereco Ltd.",17 July 2023,"Business,Opinion","img00018.jpg,img00019.jpg"
https://timesofmalta.com/articles/view/fhrd-annual-hr-conference-discuss-future-work.1043681,FHRD annual HR conference to discuss future of work,Times of Malta,17 July 2023,"Business,Events",img00020.jpeg
https://timesofmalta.com/articles/view/in-investing-time-really-friend.1043678,"In investing, time really can be your friend",Ingrid Micallef,17 July 2023,"Business,Finance",img00021.jpg
https://timesofmalta.com/articles/view/green-deal-faces-dilemma-john-cassar-white.1043975,Green Deal faces dilemma – John Cassar White,Times of Malta,17 July 2023,"Opinion,Business,European Union,Politics,Environment",img00022.jpg
https://timesofmalta.com/articles/view/consumer-affairs-dangerous-attachments-handheld-cutters.1043897,Consumer affairs: Dangerous attachments for hand-held cutters,"Odette Vella, Director, Information and Research Directorate, MCCAA",16 July 2023,"Business,Consumers",img00023.jpg
