URL,Article Name,Author,Date,Categories,Images
https://timesofmalta.com/articles/view/history-canaltunnel-proposals-connect-grand-harbour-marsamxett.1029302,History - The canal/tunnel proposals to connect Grand Harbour and Marsamxett,William Soler,21 May 2023,"Community,History,Maritime","img00000.jpg,img00001.jpg,img00002.jpg,img00003.jpg,img00004.jpg,img00005.jpg,img00006.jpg,img00007.jpg,img00008.jpg,img00009.jpg,img00010.jpg,img00011.jpg,img00012.jpg,img00013.jpg"
https://timesofmalta.com/articles/view/reducing-ghg-emissions-putting-price-carbon.1016064,Reducing GHG emissions: Putting a price on carbon,Kathrin Kutlescha,26 February 2023,"Business,Environment",img00014.jpg
https://timesofmalta.com/articles/view/defending-mosta-world-war-ii.1006936,Defending Mosta during World War II,Charles Debono,14 January 2023,"National,Mosta,History,War,Features","img00015.jpg,img00016.jpg,img00017.jpg,img00018.jpg,img00019.jpg,img00020.jpg,img00021.jpg"
https://timesofmalta.com/articles/view/witness-recalls-hearing-victims-screams-marsa-murder.1006609,Witness recalls hearing Sion Grech's screams during Marsa murder,Edwina Brincat,11 January 2023,"National,Crime,Murder","img00022.jpg,img00023.jpeg"
https://timesofmalta.com/articles/view/read-stories-times-malta-2022-are.1004293,And the most read stories of Times of Malta in 2022 are…,Times of Malta,31 December 2022,"National,Media,Crime","img00024.jpg,img00025.jpg,img00026.jpeg,img00027.jpg,img00028.jpg"
https://timesofmalta.com/articles/view/old-news-2022-politics.1003579,"Out with the old, in with the news: 2022 in politics",Ivan Martin,31 December 2022,"National,Politics,Analysis","img00029.jpg,img00030.jpg,img00031.jpg,img00032.jpg,img00033.jpg"
https://timesofmalta.com/articles/view/letters-editor-december-13-2022.1001155,"Letters to the editor - December 13, 2022",Times of Malta,13 December 2022,"Opinion,Letters","img00034.jpg,img00035.jpg"
https://timesofmalta.com/articles/view/woman-describes-repeated-sexual-molestation-national-orchestra.994992,Woman describes repeated sexual molestation at the national orchestra,Edwina Brincat,15 November 2022,"National,Court","img00036.jpg,img00037.jpg"
https://timesofmalta.com/articles/view/daughter-forgives-men-responsible-mother-s-death.993260,Daughter forgives men responsible for mother’s death,Claudia Calleja,9 November 2022,"National,Construction,Court,St Paul’s Bay,Justice","img00038.jpg,img00039.jpg"
https://timesofmalta.com/articles/view/maltese-met-queen.979943,The Maltese who met the Queen,Times of Malta,10 September 2022,"National,Royal Family,History","img00040.jpeg,img00041.jpeg,img00042.jpeg,img00043.jpeg"
https://timesofmalta.com/articles/view/millions-euros-shifted-vitals-days-government-payments.970193,Millions of euros shifted out of Vitals on days of government payments,Jacob Borg,24 July 2022,"National,Hospitals deal,Government","img00044.jpg,img00045.jpg,img00046.jpg,img00047.jpg,img00048.jpg"
https://timesofmalta.com/articles/view/mario-farrugia.964736,Mario Farrugia murder: Paper turned red when dipped in liquid under car,Edwina Brincat,28 June 2022,"National,Court,Murder","img00049.jpg,img00050.jpeg"
https://timesofmalta.com/articles/view/sliema-double-murder-suspect-could-walk-out-on-bail-next-week.949264,Sliema double murder suspect could walk out on bail next week,Edwina Brincat,19 April 2022,"National,Court","img00051.jpg,img00052.jpg"
https://timesofmalta.com/articles/view/letters-to-the-editor-march-5-2022.938796,"Letters to the editor - March 5, 2022",Times of Malta,5 March 2022,"Opinion,Letters","img00053.jpg,img00054.jpg,img00055.jpg"
https://timesofmalta.com/articles/view/two-in-three-maltese-strongly-support-neutrality-survey.933304,Two in three Maltese strongly support neutrality - survey,Ivan Martin,9 February 2022,"National,Government,Diplomacy","img00056.png,img00057.jpeg"
https://timesofmalta.com/articles/view/i-got-to-know-of-my-brothers-murder-from-the-news.913233,‘I got to know of my brother’s murder from the news’,Mark Laurence Zammit,8 November 2021,"National,Murder,Police","img00058.jpg,img00059.jpg"
https://timesofmalta.com/articles/view/fenech-wanted-to-eliminate-me-after-2019-mep-election-jason-azzopardi.895741,"Fenech wanted to 'eliminate' me after 2019 MEP election, Jason Azzopardi claims",Edwina Brincat,25 August 2021,"National,Yorgen Fenech,Electrogas,Daphne Caruana Galizia","img00060.jpg,img00061.jpg"
https://timesofmalta.com/articles/view/defending-the-fliegu-the-last-surviving-hospitaller-redoubts-in.882217,Defending the Fliegu – the last surviving Hospitaller redoubts in Mellieħa,Simon Mifsud,27 June 2021,"Community,History","img00062.jpg,img00063.jpg,img00064.jpg,img00065.jpg,img00066.jpg,img00067.jpg,img00068.jpg,img00069.jpg"
https://timesofmalta.com/articles/view/greece-launches-tourism-season-eyes-pandemic-recovery.871705,"Greece launches tourism season, eyes pandemic recovery",AFP,14 May 2021,"World,Greece,Tourism",img00070.jpg
