URL,Article Name,Author,Date,Categories,Images
https://timesofmalta.com/articles/view/authorities-dragging-feet-2022-diving-strategy-adpd.1045249,Authorities dragging their feet on 2022 diving strategy - ADPD,Press Release,22-Jul-2023,"National,ADPD,Diving,Environment",img00000.jpg
https://timesofmalta.com/articles/view/joseph-muscat-pac-testimony-hold-labour-members-want-summer-break.1045222,Joseph Muscat's PAC testimony on hold as Labour members want summer break,Times of Malta,22-Jul-2023,"National,Parliament,Politics,PL,PN",img00001.jpeg
https://timesofmalta.com/articles/view/developers-jean-paul-sofia-case-lose-bid-arrest-declared-invalid.1045198,Developers in Jean Paul Sofia case lose bid to have arrest declared invalid,Jessica Arena,22-Jul-2023,"National,Court,Construction",img00002.jpg
https://timesofmalta.com/articles/view/factcheck-how-abela-overturn-public-inquiry-parliament-vote.1044964,Fact-check: How can Abela overturn a public inquiry parliament vote ?,Neville Borg,22-Jul-2023,"National,Fact-check,Robert Abela,Parliament,Government","img00003.png,img00004.jpg,img00005.png"
https://timesofmalta.com/articles/view/they-call-us-slaves-look-inside-libya-hostage-centres.1043990,‘They call us slaves’ - a look inside Libya’s hostage centres,James Cummings,22-Jul-2023,"National,Libya,Migration",img00006.jpg
https://timesofmalta.com/articles/view/political-survey-tomorrow-times-malta.1045180,Political survey out tomorrow in Times of Malta,Times of Malta,22-Jul-2023,"National,Elections,PL,PN,Politics",img00007.jpg
https://timesofmalta.com/articles/view/demand-generators-surge-blackouts-continue.1045168,Demand for generators surges as blackouts continue,James Cummings,22-Jul-2023,"National,Weather,Climate change,Enemalta",img00008.jpg
https://timesofmalta.com/articles/view/ready-howling-good-time-first-performance-dogs-premieres-tonight.1045162,Ready for a howling good time? First performance for dogs premieres tonight,Giulia Magri,22-Jul-2023,"National,Theatre,Entertainment,Animal welfare,Ta' Qali","img00009.jpg,img00010.jpeg,img00011.jpg,img00012.png"
https://timesofmalta.com/articles/view/over-65s-affected-power-cuts-offered-day-respite-staterun-care-homes.1045165,Over 65s affected by power cuts offered a day of respite at state-run care homes,Times of Malta,22-Jul-2023,"National,Elderly,Weather,Energy",img00013.jpg
https://timesofmalta.com/articles/view/motorcyclist-car-driver-injured-two-separate-crashes.1045159,"Motorcyclist, car driver injured in two separate crashes",Times of Malta,22-Jul-2023,National,img00014.jpeg
https://timesofmalta.com/articles/view/weak-ineffective-mda-says-new-contractor-licencing-law-wont-cut.1045153,'Weak and ineffective': MDA and ministry clash over new contractor licensing law,Times of Malta,22-Jul-2023,"National,Construction,BCA,Government","img00015.jpg,img00016.jpg"
https://timesofmalta.com/articles/view/five-people-arrest-jean-paul-sofia-death.1045135,Five people under arrest over Jean Paul Sofia death,Times of Malta,22-Jul-2023,"National,Police,Construction",img00017.jpg
https://timesofmalta.com/articles/view/malta-get-first-plant-gene-bank-next-year.1045120,Malta to get its first plant gene bank by next year,Times of Malta,21 July 2023,"National,Agriculture",img00018.jpg
https://timesofmalta.com/articles/view/authorities-warn-consumption-brand-dipping-lollipops.1045117,Authorities warn against consumption of brand of dipping lollipops,Times of Malta,21 July 2023,"National,Community,Food and drink,Health",img00019.jpg
https://timesofmalta.com/articles/view/bernard-grech-nominate-jean-paul-sofia-parents-gieh-irrepubblika.1045108,Bernard Grech to nominate Jean Paul Sofia’s parents for Ġieħ ir-Repubblika,Times of Malta,21 July 2023,"National,PN,Construction",img00020.jpg
https://timesofmalta.com/articles/view/woman-serious-injuries-hit-car-b-kara.1045099,Woman left with serious injuries after being hit by a car in B’kara,Times of Malta,21 July 2023,"National,Accident,Birkirkara",img00021.jpg
https://timesofmalta.com/articles/view/miriam-vella-discharged-hospital-overnight-stay.1045057,Miriam Vella discharged from hospital after overnight stay,Times of Malta,21 July 2023,"National,President of Malta,Health",img00022.jpg
https://timesofmalta.com/articles/view/santa-venera-supermarket-clears-freezers-amid-nightmare-power-cuts.1044988,Supermarket forced to discard freezer contents amid 'nightmare' power cuts,James Cummings,21 July 2023,"National,Business,Food and drink,Enemalta","img00023.jpeg,img00024.jpeg,img00025.jpg"
https://timesofmalta.com/articles/view/grech-urges-parliament-reconvene-discuss-ongoing-power-cuts.1045048,Grech urges parliament to reconvene to discuss ongoing power cuts,Giulia Magri,21 July 2023,"National,Energy,Bernard Grech,Parliament",img00026.jpg
