URL,Article Name,Author,Date,Categories,Images
https://timesofmalta.com/articles/view/editorial-a-stark-reminder-climate-change-potential-impact.1045012,Editorial: A stark reminder of climate change and its potential impact,Times of Malta,22-Jul-2023,"Opinion,Editorial,Climate change,Weather",img00000.jpg
https://timesofmalta.com/articles/view/letters-editor-july-22-2023.1045006,"Letters to the editor - July 22, 2023",Times of Malta,22-Jul-2023,"Opinion,Letters",img00001.jpg
https://timesofmalta.com/articles/view/respect-society-lawrence-zammit.1044841,Respect for society − Lawrence Zammit,Times of Malta,21 July 2023,"Opinion,Business,Finance",
https://timesofmalta.com/articles/view/editorial-power-cuts-enough-say-sorry.1044745,Editorial: Power cuts – not enough to say sorry,Times of Malta,21 July 2023,"Opinion,Editorial,Enemalta,Energy",
https://timesofmalta.com/articles/view/letters-editor-july-21-2023.1044748,"Letters to the editor - July 21, 2023",Times of Malta,21 July 2023,"Opinion,Letters",img00002.jpg
https://timesofmalta.com/articles/view/why-accidents-happen.1044577,Why accidents happen,Evarist Bartolo,21 July 2023,"Opinion,Comment,Construction,Justice",
https://timesofmalta.com/articles/view/the-arrogance-political-establishment.1044712,The arrogance of the political establishment,Justin Attard,21 July 2023,"Opinion,Comment,Government,Rule of Law",
https://timesofmalta.com/articles/view/no-country-prosper-isolation.1044532,No country can prosper in isolation,Yu Dunhai,20 July 2023,"Opinion,Comment,China",
https://timesofmalta.com/articles/view/opinion-robert-abela-great-week.1044541,Opinion: Robert Abela’s great week,Ranier Fsadni,20 July 2023,"Opinion,Comment,Robert Abela,Politics,Justice",
https://timesofmalta.com/articles/view/editorial-the-land-use-emergency.1044544,Editorial: The land use emergency,Times of Malta,20 July 2023,"Opinion,Editorial,Agriculture",
https://timesofmalta.com/articles/view/letters-editor-july-20-2023.1044547,"Letters to the editor - July 20, 2023",Times of Malta,20 July 2023,"Opinion,Letters",img00003.jpg
https://timesofmalta.com/articles/view/editorial-uturn-back-common-sense.1044325,Editorial: U-turn back to common sense,Times of Malta,19 July 2023,"Opinion,Editorial,Robert Abela,Parliament",
https://timesofmalta.com/articles/view/older-adults-income-grew.1044136,Older adults’ income grew,Mark Musu',19 July 2023,"Opinion,Comment,Cost of living,Elderly,Statistics",
https://timesofmalta.com/articles/view/evapes-going-smoke.1044139,E-vapes should not be going up in smoke,Joe Attard,19 July 2023,"Opinion,Comment,Environment,Waste",
https://timesofmalta.com/articles/view/letters-editor-july-19-2023.1044316,"Letters to the editor - July 19, 2023",Times of Malta,19 July 2023,"Opinion,Letters",img00004.jpg
https://timesofmalta.com/articles/view/editorial-the-problem-rising-inequality.1044088,Editorial: The problem of rising inequality,Times of Malta,18 July 2023,"Opinion,Editorial,Cost of living,Elderly",
https://timesofmalta.com/articles/view/mps-privilege-needs-limits.1044112,MPs’ privilege needs limits,Edward Zammit Lewis,18 July 2023,"Opinion,Comment,Parliament",
https://timesofmalta.com/articles/view/letters-editor-july-18-2023.1044097,"Letters to the editor - July 18, 2023",Times of Malta,18 July 2023,"Opinion,Letters",img00005.jpg
https://timesofmalta.com/articles/view/just-something-can-done-doesnt-mean-done.1044079,"Just because something ‘can’ be done, it doesn't mean it should be done","Lucille Cachia, Director of Exereco Ltd.",17 July 2023,"Business,Opinion",img00006.jpg
